run,best_bleu,best_bleu_epoch,best_valid_loss,best_valid_loss_epoch,last_bleu,last_valid_loss
transformer_rlt_rope,13.55,18,4.1682,20,12.91,4.1682
transformer_bs128,11.38,20,4.4081,16,11.38,4.4339
