run,best_bleu,best_bleu_epoch,best_valid_loss,best_valid_loss_epoch,last_bleu,last_valid_loss
transformer_abs_layer,12.12,20,4.3082,14,12.12,4.3559
transformer_scale_small,9.2,15,4.6136,20,8.12,4.6136
