epoch,train_loss,valid_loss,valid_bleu
1,5.8633,5.6067,5.19
2,5.0885,5.3025,5.99
3,4.773,5.1333,6.59
4,4.5674,4.9985,6.43
5,4.4137,4.9325,6.41
6,4.2939,4.89,7.36
7,4.1957,4.8465,8.27
8,4.1129,4.823,8.51
9,4.0435,4.7751,7.1
10,3.983,4.7501,7.53
11,3.9292,4.7298,7.65
12,3.8822,4.7003,8.37
13,3.8404,4.6976,7.62
14,3.8016,4.6918,8.26
15,3.7665,4.6608,9.2
16,3.7342,4.6429,7.32
17,3.704,4.6433,7.73
18,3.6765,4.6259,7.87
19,3.6512,4.6464,8.85
20,3.6271,4.6136,8.12
