epoch,train_loss,valid_loss,valid_bleu
1,5.0724,5.0097,8.39
2,4.2459,4.74,7.46
3,3.9003,4.59,8.83
4,3.6803,4.5037,9.39
5,3.5197,4.419,9.3
6,3.3953,4.3893,10.16
7,3.2966,4.3685,9.92
8,3.2152,4.3656,9.66
9,3.1452,4.354,9.71
10,3.0832,4.3397,10.11
11,3.0287,4.3468,11.55
12,2.982,4.3546,11.63
13,2.94,4.3359,10.65
14,2.9016,4.3082,11.72
15,2.8657,4.356,11.54
16,2.8333,4.3356,11.65
17,2.8039,4.3357,10.85
18,2.7757,4.3182,11.17
19,2.7504,4.3342,12.07
20,2.7252,4.3559,12.12
