epoch,train_loss,valid_loss,valid_bleu
1,5.4457,5.2593,7.03
2,4.5618,4.9328,6.92
3,4.1745,4.7687,8.18
4,3.9213,4.6272,8.5
5,3.7351,4.5714,9.86
6,3.5887,4.5047,8.82
7,3.4705,4.4799,9.75
8,3.3721,4.4617,9.72
9,3.2898,4.4621,10.2
10,3.2176,4.4386,9.49
11,3.1544,4.4437,9.63
12,3.0992,4.4402,11.21
13,3.0493,4.4213,10.0
14,3.0056,4.4281,10.81
15,2.9654,4.425,9.52
16,2.9301,4.4081,9.46
17,2.8942,4.4474,9.54
18,2.8637,4.4207,10.3
19,2.835,4.4138,11.1
20,2.8091,4.4339,11.38
