epoch,train_loss,valid_loss,valid_bleu
1,5.1008,5.008,6.49
2,4.2578,4.7466,5.97
3,3.9101,4.5761,8.72
4,3.6944,4.5009,8.83
5,3.5398,4.4181,9.19
6,3.4206,4.395,8.98
7,3.3236,4.363,10.74
8,3.2436,4.3593,9.96
9,3.1756,4.3192,10.69
10,3.1155,4.3257,9.66
11,3.0625,4.3394,10.29
12,3.0161,4.3067,11.59
13,2.9732,4.3261,11.0
14,2.9348,4.294,12.03
15,2.8985,4.3197,11.81
16,2.8659,4.3007,11.78
17,2.835,4.31,11.44
18,2.8057,4.3094,11.48
19,2.7809,4.3025,12.19
20,2.7539,4.3066,11.96
