epoch,train_loss,valid_loss,valid_bleu
1,8.3805,5.6411,6.49
2,5.0735,5.2406,8.08
3,4.6699,5.0307,9.28
4,4.4035,4.8534,10.89
5,4.2005,4.7692,11.06
6,4.0345,4.6845,11.72
7,3.8928,4.6337,11.58
8,3.7515,4.5352,11.84
9,3.6105,4.4589,11.56
10,3.4919,4.4304,12.01
11,3.3898,4.3931,12.36
12,3.3,4.3467,11.65
13,3.2206,4.2906,12.2
14,3.1499,4.2523,12.99
15,3.0819,4.268,12.42
16,3.0265,4.2074,12.58
17,2.9698,4.2255,12.49
18,2.9215,4.2033,13.55
19,2.8759,4.1896,13.15
20,2.8333,4.1682,12.91
